References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1, C2, C3, C4	4	10uF 3216-18	KEMET	B45196H2106K109	AVX	NOSA106M006R0800					NOSA106M006R0800-ND	581NOSA106M006R0800		58M9848	9751041
C11, C22	2	4.7uF 0603	Murata	GRM188R61A475KE15D	KEMET	C0603C475K8PACTU					490-10477-6-ND	80C0603C475K8P7867	6911155	14N2177	1572625
C5, C10, C21, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C39, C40, C41, C42, C43	21	100nF 0603	Yageo	CC0603KRX7R9BB104	Murata	GRM188R71H104KA93D	Samsung	CL10B104KB8NNNC			490-1519-6-ND	603CC603KRX7R9BB104	7235676	68R4788	8820023
C6, C13, C14	3	10uF 0805	Murata	GRM21BR61C106KE15L							490-3886-1-ND	81GRM21BR61C106KE15	7236039	35R0687	1762635
C7, C8, C12, C15, C16, C17, C18, C19, C23, C24	10	4.7uF 0805	Murata	GRM21BR61E475KA12L							490-3335-1-ND	81GRM21BR61E475KA12	7236057	24R6340	1735529
C9, C20	2	10nF 0603	Murata	GRM188R71H103KA01D	Yageo	CC0603KRX7R9BB103					490-1512-6-ND	81GRM39X103K50D	2040779	38K1669	1362418
D1	1	DIODE SOD-123	MCC	1N4148W-TP							1N4148WTPMSCT-ND	8331N4148WTP		51T5044	1924519
D4, D7	2	MBR130T3G SOD123	ON Semiconductor	MBR130T3G							MBR130T3GOSCT-ND	863MBR130T3G	7815635	42K0004	1611423
D6, D8	2	BAV99 SOT23	ON Semiconductor	BAV99LT1G							BAV99LT1GOSCT-ND	863BAV99LT1G	1249957	58M3990	9558667
J1	1	Socket (0.4mm pitch, 34-pin, Ni-barrie	Panasonic	AXT334124		ED060SC7					255-3300-1-ND	769AXT334124		29X3301	
J2	1	Wire-To-Board Connector, Surface Mount, Receptacle, 16 contacts, 2.54 mm	Würth Elektronik	610116249221							732-6082-1-ND	710610116249221			2470746
L1	1	4.7uH L-EUL2825P													
L2, L3, L4	3	2.2uH L-EUL2825P													
OSC1	1	100Mhz 7mm x 5mm	Ecliptek	EC2700TTS-100.000M TR	Ecliptek	EC2700ETTS-100.000M TR	Euroquartz	3EQHM57-ET-100.000R-C1.5						33P9351	1641083
R10	1	47k5 0603	Yageo	RC0603FR-0747K5L							311-47.5KHRCT-ND	603RC0603FR0747K5L		68R0096	1799346
R12	1	52k3 0603	Panasonic	ERA3ARB5232V	Yageo	RC0603FR-0752K3L	Vishay Dale	CRCW060352K3FKTA	Panasonic	ERA-3AEB5232V	ERA-3ARB5232V-ND	71CRCW060352.3K	7088940P	93T7397	2094621
R23, RD5, RD1, RD2, RD3, RD4	6	0 Ohm 0603	Vishay	CRCW06030000Z0EAHP	Vishay	CRCW06030000Z0EA	Panasonic	ERJ-3GEY0R00V			P0.0GCT-ND	667ERJ3GEY0R00V	8206736	65T8702	1469739
R27	1	43k 0603	Panasonic	ERA3APB433V							P43KAYDKR-ND	667ERA3APB433V			1892846
R3, R5, R6	3	10k 0603	Vishay	CRCW060310K0FKEA	Vishay	CRCW060310K0FKEAHP	Panasonic	ERJ-3EKF1002V			541-10.0KHDKR-ND	71CRCW060310KE3	8206742	61M5335	2303192
R4, R13	2	22R 0603	Yageo	RC0603JR-0722RL							311-22GRCT-ND	603RC0603JR0722RL		68R0168	1799407
R7	1	2.2k 0603	Panasonic	ERA3AEB222V							P2.2KDBDKR-ND	667ERA3AEB222V	566806P	01X1301	1577611
R9, R11	2	1M 0603	Vishay	CRCW06031M00FKEA	Yageo	RC0603FR-071ML	Vishay Dale	CRCW06031M00FKEAHP	Panasonic	ERJ-3EKF1004V	311-1.00MHRDKR-ND	667ERJ3EKF1004V	8206786	64R5311	1469746
U1	1	TPS65185RSLR	Texas Instruments	TPS65185RSLR	Texas Instruments	TPS65185SRGZR	Texas Instruments	TPS651851RSLT			296-29565-1-ND	595TPS651851RSLT		87X2294	
U2, U3	2		Texas Instruments	LM3671MF-3.3/NOPB							LM3671MF-3.3/NOPBDKR-ND	926LM3671MF3.3NOPB	7615876P	79K7839	2412057
U5	1	SPI FLASH SOIC8													
U6	1		Lattice Semiconductor	ICE40HX1K-VQ100							220-1567-ND	842ICE40HX1KVQ100	7720045P		2362850
U7	1	IS61WV2561	Samsung	K6R4016V1DND	ISSI	IS61WV25616BLL-10BLI-TR					IS61WV25616BLL-10BLI-TR-ND				
